iter	trend_lb	er_window	er_threshold	vol_lb	rebalance	dev_sharpe	dev_ann_return	dev_max_dd	dev_turnover	status
286	189	63	0.4	63	W-FRI	-0.4812	-0.0389	-0.4572	0.0194	discard
287	189	63	0.4	63	ME	-0.3335	-0.0292	-0.435	0.008	discard
288	252	21	0.0	21	W-FRI	-0.0108	-0.0033	-0.2199	0.0439	discard
289	252	21	0.0	21	ME	0.0173	-0.0013	-0.1997	0.022	discard
290	252	21	0.0	42	W-FRI	-0.0244	-0.004	-0.2311	0.036	discard
291	252	21	0.0	42	ME	-0.0048	-0.0026	-0.2036	0.0181	discard
292	252	21	0.0	63	W-FRI	-0.0346	-0.0047	-0.2233	0.0338	discard
293	252	21	0.0	63	ME	-0.0282	-0.0041	-0.2096	0.017	discard
294	252	21	0.2	21	W-FRI	-0.0876	-0.0125	-0.3573	0.2054	discard
295	252	21	0.2	21	ME	0.1452	0.0082	-0.2645	0.0683	discard
296	252	21	0.2	42	W-FRI	-0.1082	-0.0141	-0.3661	0.2043	discard
297	252	21	0.2	42	ME	0.1521	0.0089	-0.2614	0.068	discard
298	252	21	0.2	63	W-FRI	-0.1081	-0.0141	-0.3606	0.2047	discard
299	252	21	0.2	63	ME	0.128	0.0068	-0.2665	0.068	discard
300	252	21	0.3	21	W-FRI	0.1403	0.0083	-0.3151	0.1937	discard
301	252	21	0.3	21	ME	0.2526	0.0188	-0.2441	0.0721	discard
302	252	21	0.3	42	W-FRI	0.1116	0.0054	-0.307	0.1931	discard
303	252	21	0.3	42	ME	0.267	0.0202	-0.2346	0.0722	discard
304	252	21	0.3	63	W-FRI	0.1081	0.0051	-0.3188	0.1931	discard
305	252	21	0.3	63	ME	0.2666	0.0201	-0.2328	0.0721	discard
306	252	21	0.4	21	W-FRI	0.3324	0.0281	-0.2689	0.1444	discard
307	252	21	0.4	21	ME	0.009	-0.0047	-0.289	0.0529	discard
308	252	21	0.4	42	W-FRI	0.2981	0.0246	-0.2688	0.1446	discard
309	252	21	0.4	42	ME	0.0054	-0.0051	-0.287	0.0529	discard
310	252	21	0.4	63	W-FRI	0.2876	0.0235	-0.2717	0.1446	discard
311	252	21	0.4	63	ME	-0.0011	-0.0057	-0.2887	0.0529	discard
312	252	42	0.0	21	W-FRI	-0.0108	-0.0033	-0.2199	0.0439	discard
313	252	42	0.0	21	ME	0.0173	-0.0013	-0.1997	0.022	discard
314	252	42	0.0	42	W-FRI	-0.0244	-0.004	-0.2311	0.036	discard
315	252	42	0.0	42	ME	-0.0048	-0.0026	-0.2036	0.0181	discard
316	252	42	0.0	63	W-FRI	-0.0346	-0.0047	-0.2233	0.0338	discard
317	252	42	0.0	63	ME	-0.0282	-0.0041	-0.2096	0.017	discard
318	252	42	0.2	21	W-FRI	0.4134	0.0369	-0.2957	0.1681	discard
319	252	42	0.2	21	ME	0.0241	-0.0038	-0.2832	0.0625	discard
320	252	42	0.2	42	W-FRI	0.3771	0.033	-0.291	0.1663	discard
321	252	42	0.2	42	ME	0.0007	-0.0061	-0.2938	0.0622	discard
322	252	42	0.2	63	W-FRI	0.3746	0.0326	-0.2964	0.1658	discard
323	252	42	0.2	63	ME	0.0116	-0.005	-0.2827	0.0617	discard
324	252	42	0.3	21	W-FRI	0.6516	0.0645	-0.2099	0.1115	discard
325	252	42	0.3	21	ME	0.4046	0.033	-0.2666	0.04	discard
326	252	42	0.3	42	W-FRI	0.6261	0.0616	-0.2117	0.11	discard
327	252	42	0.3	42	ME	0.3926	0.0319	-0.2662	0.0399	discard
328	252	42	0.3	63	W-FRI	0.628	0.0618	-0.21	0.1099	discard
329	252	42	0.3	63	ME	0.4023	0.0328	-0.2655	0.0398	discard
330	252	42	0.4	21	W-FRI	0.4537	0.0376	-0.2576	0.0453	discard
331	252	42	0.4	21	ME	0.2838	0.0225	-0.2953	0.0161	discard
332	252	42	0.4	42	W-FRI	0.4214	0.0346	-0.2576	0.0452	discard
333	252	42	0.4	42	ME	0.2818	0.0223	-0.2953	0.0161	discard
334	252	42	0.4	63	W-FRI	0.4218	0.0346	-0.2576	0.0451	discard
335	252	42	0.4	63	ME	0.2858	0.0227	-0.2953	0.0161	discard
336	252	63	0.0	21	W-FRI	-0.0108	-0.0033	-0.2199	0.0439	discard
337	252	63	0.0	21	ME	0.0173	-0.0013	-0.1997	0.022	discard
338	252	63	0.0	42	W-FRI	-0.0244	-0.004	-0.2311	0.036	discard
